Hour,Timestamp,Actual_PV
1,2026-06-14 05:30:00,0.0
2,2026-06-14 06:30:00,3.27
3,2026-06-14 07:30:00,32.31
4,2026-06-14 08:30:00,71.0
5,2026-06-14 09:30:00,81.18
6,2026-06-14 10:30:00,100.73
7,2026-06-14 11:30:00,115.19
8,2026-06-14 12:30:00,171.56
9,2026-06-14 13:30:00,150.11
10,2026-06-14 14:30:00,122.94
11,2026-06-14 15:30:00,76.95
12,2026-06-14 16:30:00,82.76
13,2026-06-14 17:30:00,30.64
14,2026-06-14 18:30:00,8.75
15,2026-06-14 19:30:00,0.0
16,2026-06-14 20:30:00,0.0
17,2026-06-14 21:30:00,0.0
18,2026-06-14 22:30:00,0.0
19,2026-06-14 23:30:00,0.0
20,2026-06-15 00:30:00,0.0
21,2026-06-15 01:30:00,0.0
22,2026-06-15 02:30:00,0.0
23,2026-06-15 03:30:00,0.0
24,2026-06-15 04:30:00,0.0
